Feature,Importance
Age_BMI_Interaction,0.4431719241853685
Cardio_Risk_Score,0.43192702786107123
age,0.37758268580086907
BMI_Category_obese,0.28855180790643264
Obesity_Flag,0.28855180790643264
hypertension,0.26346991073683124
bmi,0.2170943759387192
heart_disease,0.16845711712424008
Lifestyle_Risk_Score,0.15568886320766645
Diet_Score,0.09326093937798949
Activity_Score,0.06242792382966676
PhysicalActivity_Sedentary,0.0328384436351631
Diet_Unhealthy,0.03172057986859143
BMI_Category_normal,0.030068540144716705
Diet_Mixed,0.029819779640808234
gender_Male,0.024965438945466944
Age_Band_elderly,0.014027626595086879
BMI_Category_overweight,0.013526783990407285
Age_Risk_Flag,0.013075576826643216
Age_Band_middle,0.011103775229290423
PhysicalActivity_Moderately Active,0.0032489634406573254
Age_Band_senior,0.0009520497684371841
